1.020268707471183589e-01,1.018421925068916423e+01,1.787410254953195476e+01,2.392594853728352433e+01,2.875299726090000263e+01,3.265042183199810921e+01,3.604893392399661423e+01,3.906927963474764454e+01,4.149989266637199847e+01,4.379196425151086203e+01,4.639897251384314814e+01
-3.248829846098644225e-02,8.342867986182767481e+00,1.496109096632767255e+01,2.030536021973876615e+01,2.480991771142465652e+01,2.813584664363652976e+01,3.113964047213134734e+01,3.311698111815679368e+01,3.475399421102718378e+01,3.548338192398758650e+01,3.567666416030667875e+01
-3.467330278956737288e-02,7.314548379531549571e+00,1.327817632026102501e+01,1.830013079573671320e+01,2.247253999977111150e+01,2.569163940668524049e+01,2.834146477374689255e+01,3.024899445627806571e+01,3.168455180084727019e+01,3.265666968359423095e+01,3.269535368257545827e+01
-7.355870634109251682e-02,6.538387829522229744e+00,1.210638009886933020e+01,1.675176219832959035e+01,2.045913914129810962e+01,2.350450102991795731e+01,2.606423252318875683e+01,2.811097238093766038e+01,2.956924324549195049e+01,3.066402338786422632e+01,3.121712000254213137e+01
3.013662129764949071e-02,6.007652802908680201e+00,1.095933964789939097e+01,1.526716468963888929e+01,1.881767827711778907e+01,2.182403903979744797e+01,2.399560388175242664e+01,2.617416188056922266e+01,2.764965323415747989e+01,2.900953364569405224e+01,2.986287889469816292e+01
-2.964379673193739961e-02,5.464650010569283012e+00,1.016814382844238907e+01,1.410395588504414022e+01,1.726274757644722513e+01,2.014584386639068825e+01,2.230608788215744198e+01,2.424090937597006601e+01,2.594689516327541767e+01,2.728943213496514275e+01,2.851280049475963807e+01
2.510720349260253670e-02,5.103661680059079941e+00,9.510632488901393344e+00,1.297781108835937047e+01,1.600504826160810268e+01,1.870232612080135937e+01,2.086615361723068673e+01,2.263558932144760405e+01,2.422439352579753802e+01,2.565045968985458913e+01,2.674595122134522285e+01
1.209675120536823911e-01,4.763179935040473545e+00,8.617629670612437565e+00,1.203771762476081264e+01,1.490539834438330224e+01,1.736818031020125375e+01,1.939866270275181392e+01,2.121817712961813385e+01,2.255024526377155070e+01,2.413807949522514917e+01,2.538717765498639167e+01
-1.792076030336708925e-01,4.233656120508877407e+00,8.028127770933046747e+00,1.110949687385169860e+01,1.373800986687206915e+01,1.609427809689542954e+01,1.810580052904191461e+01,1.983977333569280077e+01,2.128064323488818488e+01,2.233041229195698207e+01,2.371099079719941471e+01
3.455695707155204133e-02,4.070083215238229357e+00,7.333273223693015375e+00,1.043409544218444296e+01,1.277806611573362261e+01,1.497546828973560551e+01,1.676483498279922557e+01,1.845024039134216665e+01,2.001912685364822764e+01,2.107309310505473121e+01,2.221780497536469667e+01
5.201980280430396064e-02,3.638994573220921680e+00,6.744859675490511464e+00,9.576804041853803184e+00,1.179632435265390811e+01,1.389078431123243007e+01,1.563281146587428516e+01,1.708636035665370656e+01,1.854471656913969468e+01,1.975250950981026676e+01,2.078963082674680862e+01
3.033034881538831939e-03,3.373116728890479532e+00,6.219468985629895030e+00,8.821224909873192743e+00,1.103219873657036487e+01,1.270600635459865302e+01,1.450269407573699887e+01,1.595696360143062975e+01,1.718404531690025294e+01,1.852932724709290824e+01,1.948773164116193257e+01
-4.097224743415672776e-02,3.175438028049182293e+00,5.717854131940780960e+00,7.979039259063691603e+00,9.955797421923662682e+00,1.180743494056787313e+01,1.336269185441505414e+01,1.482213458932922734e+01,1.605896179367277554e+01,1.699601266217993611e+01,1.804687404775410187e+01
2.112470364117324806e-02,2.865188414850572407e+00,5.394484869157823326e+00,7.323643264068802061e+00,9.305022689609721454e+00,1.083428137744551023e+01,1.240360069126574771e+01,1.363864938462441323e+01,1.482555349151465407e+01,1.585968402197387483e+01,1.690268251100588515e+01
